gene_id,TG1,TG2,TG3,WT1,WT2,WT3
ENSMUSG00000083536|Gm15808,0,5,5,5,5,0
,,,,,,
MSTRG.15172,44331,40442,31599,33666,51336,32941
,,,,,,
ENSMUSG00000100956|Gm28558,0,0,0,0,0,0
,,,,,,
ENSMUSG00000103290|Ighv1-23,9,24,4,15,13,22
,,,,,,
MSTRG.15176,324,2501,1795,411,818,2020
,,,,,,
ENSMUSG00000100491|Gm28331,0,0,0,0,0,0
,,,,,,
MSTRG.8647|Gm49607,4,10,7,0,4,3
,,,,,,
MSTRG.14252|Pogz,10442,11980,10884,11067,11860,10841
,,,,,,
MSTRG.5393|Ighv9-3,702,1684,1150,772,754,1675
,,,,,,
ENSMUSG00000092142|Gm6482,0,0,0,0,0,0
,,,,,,
MSTRG.18654|Gm44445,17,20,24,11,7,10
,,,,,,
MSTRG.17938|Zfp113,2789,2025,2229,2779,2404,2191
,,,,,,
MSTRG.24772|Mir98,2,1,1,0,1,3
,,,,,,
MSTRG.10527,2350,5987,6227,3748,4431,6007
,,,,,,
ENSMUSG00000048652|Samd13,23,18,35,11,64,61
,,,,,,
MSTRG.10529,10904,15421,14478,12462,15760,13906
,,,,,,
ENSMUSG00000115777|Gm32815,0,3,0,0,0,0
,,,,,,
ENSMUSG00000101351|Gm28573,0,0,0,0,0,0
,,,,,,
ENSMUSG00000082754|Olfr1021-ps1,0,0,0,0,0,0
,,,,,,
ENSMUSG00000092732|Gm24025,0,0,0,0,0,0
,,,,,,
MSTRG.13198|Trp53inp2,12054,6485,9313,13057,10819,7108
,,,,,,
MSTRG.1414|3110062G12Rik,8,6,7,4,6,3
,,,,,,
MSTRG.15018|Tstd3,360,847,770,446,630,990
,,,,,,
MSTRG.12287|Gm35808,5,3,5,10,9,2
,,,,,,
ENSMUSG00000094912|Gm26392,0,0,0,0,0,0
,,,,,,
MSTRG.21112|Gm15483,124,115,127,107,117,132
,,,,,,
MSTRG.5662,407,312,254,414,335,214
,,,,,,
MSTRG.5664,267,54,89,244,133,67
,,,,,,
MSTRG.5666,418,532,393,468,434,405
,,,,,,
MSTRG.5667,323,430,159,332,418,213
,,,,,,
ENSMUSG00000092905|Gm25735,0,1,0,0,1,0
,,,,,,
MSTRG.600|Htr2b,161,128,185,186,228,113
,,,,,,
MSTRG.14908|Gm42942,3,0,0,0,0,0
,,,,,,
MSTRG.13987|B3galnt1,362,848,1048,931,1190,764
,,,,,,
ENSMUSG00000082919|Gm12641,0,0,0,0,0,0
,,,,,,
ENSMUSG00000084239|Gm14463,0,0,0,0,0,0
,,,,,,
ENSMUSG00000101472|Gm28517,0,0,0,0,0,0
,,,,,,
ENSMUSG00000081681|Gm14868,0,0,0,0,0,0
,,,,,,
MSTRG.6553|Zfp131,1882,3312,1644,952,3157,1658
,,,,,,
MSTRG.2478|4933408J17Rik,14,23,15,29,24,23
,,,,,,
MSTRG.8210|1700129L04Rik,0,0,0,0,0,0
,,,,,,
MSTRG.20873|Snord14a,0,1,1,1,1,1
,,,,,,
ENSMUSG00000052221|Ppp1r36,26,19,20,58,31,34
,,,,,,
MSTRG.3591|Glod4,5308,4162,4753,3442,5771,4540
,,,,,,
ENSMUSG00000103814|Gm38007,2,0,0,0,0,0
,,,,,,
ENSMUSG00000095149|Gm24390,0,0,0,0,0,0
,,,,,,
ENSMUSG00000089187|Gm22949,0,0,0,0,0,0
,,,,,,
MSTRG.7666|Stk3,7951,8292,9879,9845,12888,8645
,,,,,,
ENSMUSG00000089488|Gm24733,0,0,0,0,0,0
,,,,,,
MSTRG.21189|Gm44891,42,99,64,98,88,96
,,,,,,
MSTRG.14528|Gstm1,41167,14271,20884,35974,28033,14739
,,,,,,
ENSMUSG00000101321|Gm28817,0,0,0,0,0,0
,,,,,,
MSTRG.4336|Tnrc6c,3057,502,2293,886,3151,3489
,,,,,,
ENSMUSG00000101692|Gm28244,0,0,0,0,0,0
,,,,,,
ENSMUSG00000080697|Vmn1r-ps107,0,0,0,0,0,0
,,,,,,
ENSMUSG00000088370|Gm22880,0,0,0,0,0,0
,,,,,,
MSTRG.17128|Gm43057,0,0,0,0,0,0
,,,,,,
ENSMUSG00000115642|Gm18977,0,0,0,0,0,0
,,,,,,
MSTRG.21299|R74862,337,313,390,393,390,298
,,,,,,
ENSMUSG00000080695|Gm5394,0,0,0,0,0,0
,,,,,,
ENSMUSG00000111103|1700016J18Rik,0,0,0,0,0,0
,,,,,,
MSTRG.13317|Gdap1l1,2201,736,984,1937,890,923
,,,,,,
ENSMUSG00000117790|Gm46652,8,8,8,0,10,8
,,,,,,
ENSMUSG00000083059|Olfr268-ps1,0,0,0,0,0,0
,,,,,,
MSTRG.7709|Azin1,8694,16876,12645,21263,14433,6970
,,,,,,
ENSMUSG00000045109|Krtap4-7,0,0,0,0,3,0
,,,,,,
MSTRG.13114|3300002I08Rik,27,121,16,29,35,29
,,,,,,
MSTRG.3844,24122,44680,39387,35650,42610,50092
,,,,,,
MSTRG.6212|Gm41002,1,0,5,0,0,5
,,,,,,
ENSMUSG00000083776|Gm13473,0,0,0,0,0,0
,,,,,,
ENSMUSG00000104680|Gm9415,0,5,2,3,14,0
,,,,,,
MSTRG.18719,59,247,65,100,55,238
,,,,,,
ENSMUSG00000115477|Gm20070,0,0,0,0,0,0
,,,,,,
ENSMUSG00000093433|Gm18415,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113496|Gm6575,0,2,0,0,0,0
,,,,,,
MSTRG.2392,18245,15481,10607,7952,5648,16339
,,,,,,
ENSMUSG00000117445|Gm50026,0,0,0,0,0,0
,,,,,,
ENSMUSG00000065220|Gm25794,1,2,0,1,0,0
,,,,,,
ENSMUSG00000100230|Gm28650,10,2,0,5,4,2
,,,,,,
ENSMUSG00000115592|Mcpt-ps1,3,3,14,7,14,27
,,,,,,
MSTRG.11434|Uhrf2,5864,6158,7432,5840,6007,5651
,,,,,,
ENSMUSG00000067242|Lgi1,20,36,53,38,51,45
,,,,,,
MSTRG.9382|Kremen2,70,139,109,75,111,88
,,,,,,
ENSMUSG00000084134|Gm13930,0,0,0,0,0,0
,,,,,,
ENSMUSG00000058244|Olfr506,0,0,0,1,0,0
,,,,,,
MSTRG.1696|Sash1,21906,10409,18080,18070,26902,14222
,,,,,,
ENSMUSG00000083053|Gm15001,0,0,0,0,0,0
,,,,,,
ENSMUSG00000095978|Mup-ps11,0,0,0,0,0,0
,,,,,,
ENSMUSG00000101360|4933417O13Rik,4,3,0,3,4,3
,,,,,,
ENSMUSG00000100687|Gm18357,0,0,0,0,0,0
,,,,,,
ENSMUSG00000087960|Gm25392,0,0,0,0,0,0
,,,,,,
ENSMUSG00000051986|A530006G24Rik,0,0,0,3,0,0
,,,,,,
MSTRG.4858,962,638,624,910,896,846
,,,,,,
MSTRG.18224|Wnt2,370,1037,1442,983,1298,1119
,,,,,,
MSTRG.13182|Pxmp4,1661,1908,1929,1938,1905,1949
,,,,,,
MSTRG.16862|Gm42767,0,0,0,0,0,0
,,,,,,
MSTRG.5365|Ighv2-2,238,649,1001,314,269,692
,,,,,,
MSTRG.21825|Gm45546,26,40,32,34,31,24
,,,,,,
ENSMUSG00000110339|Vmn2r-ps35,3,0,0,6,0,0
,,,,,,
ENSMUSG00000112977|Gm34081,0,0,0,0,0,0
,,,,,,
ENSMUSG00000110151|Gm38416,3,5,2,6,17,4
,,,,,,
ENSMUSG00000073916|Olfr669,0,0,0,0,0,0
,,,,,,
ENSMUSG00000096090|Gm26334,0,0,0,0,0,0
,,,,,,
MSTRG.16976|Gm43775,40,32,13,30,20,16
,,,,,,
ENSMUSG00000096079|Gm23961,0,0,0,0,0,0
,,,,,,
ENSMUSG00000075064|Olfr1506,0,0,0,0,0,4
,,,,,,
MSTRG.20042|Chst8,590,348,582,804,523,352
,,,,,,
MSTRG.19820|Erf,5468,3216,2326,386,8934,2504
,,,,,,
ENSMUSG00000089840|Gm4491,0,4,0,0,6,4
,,,,,,
ENSMUSG00000087561|Gm11608,0,0,0,0,0,0
,,,,,,
MSTRG.24173|Mid1ip1,8184,7409,7865,8980,8044,7312
,,,,,,
MSTRG.11363|Nsa2-ps1,1291,1447,1308,1272,1363,1431
,,,,,,
ENSMUSG00000091039|Krtap20-2,0,0,0,0,3,0
,,,,,,
ENSMUSG00000111954|Gm7001,5,3,0,0,15,4
,,,,,,
ENSMUSG00000105546|Mir669a-4,0,0,0,0,0,0
,,,,,,
ENSMUSG00000118050|Gm18739,0,0,0,0,0,0
,,,,,,
ENSMUSG00000096053|Gm25943,0,0,0,0,0,0
,,,,,,
ENSMUSG00000092496|Vmn1r-ps84,0,0,0,0,0,0
,,,,,,
ENSMUSG00000046380|Jrk,1094,702,827,824,887,875
,,,,,,
MSTRG.1888|Lama4,8484,13286,26202,16223,27398,17437
,,,,,,
ENSMUSG00000096211|Gm23330,0,0,0,0,0,0
,,,,,,
ENSMUSG00000083175|Gm12206,11,28,30,16,5,3
,,,,,,
ENSMUSG00000084103|Gm14629,0,0,0,0,0,0
,,,,,,
ENSMUSG00000092295|Gm20543,0,0,0,0,0,0
,,,,,,
ENSMUSG00000088840|Gm26358,0,0,0,0,0,0
,,,,,,
ENSMUSG00000054272|Zscan4c,0,0,0,0,0,0
,,,,,,
MSTRG.6395|Fcho2,1892,2458,1880,2452,2956,2322
,,,,,,
ENSMUSG00000101562|Gm29144,0,0,0,0,0,0
,,,,,,
ENSMUSG00000084456|Gm24593,0,0,1,0,0,0
,,,,,,
ENSMUSG00000105648|Gm43505,0,0,0,1,0,0
,,,,,,
ENSMUSG00000088346|Gm22337,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113446|Gm47455,2,0,0,0,0,0
,,,,,,
MSTRG.20599|Tenm4,4337,701,1471,4896,1732,519
,,,,,,
ENSMUSG00000065823|n-R5s182,0,0,0,0,0,0
,,,,,,
ENSMUSG00000063478|Tas2r114,0,0,0,0,0,3
,,,,,,
MSTRG.15047|Gm11942,2016,2231,2091,1960,2076,2083
,,,,,,
ENSMUSG00000052581|Lrrtm4,3,9,10,5,4,20
,,,,,,
MSTRG.8156|Cerk,3071,2339,3551,1411,1237,3758
,,,,,,
ENSMUSG00000023873|1700010I14Rik,198,217,210,302,245,316
,,,,,,
ENSMUSG00000117803|Gm50379,0,0,0,0,0,0
,,,,,,
ENSMUSG00000083507|Gm12842,4,6,2,0,5,2
,,,,,,
ENSMUSG00000107410|Gm44023,0,0,0,0,0,0
,,,,,,
MSTRG.14940|Gm11805,4,11,3,3,9,4
,,,,,,
MSTRG.7437|Gm17066,63,71,66,227,181,123
,,,,,,
MSTRG.18816|Gm15864,0,0,0,0,0,0
,,,,,,
MSTRG.7295|Gm37513,0,0,0,0,2,3
,,,,,,
ENSMUSG00000102853|Gm7270,0,0,0,0,0,0
,,,,,,
MSTRG.19790|Gm44796,0,0,0,0,3,0
,,,,,,
ENSMUSG00000102294|Gm37544,0,0,0,0,0,0
,,,,,,
ENSMUSG00000115554|Gm19111,0,0,0,0,0,3
,,,,,,
ENSMUSG00000114022|Gm17330,1,1,3,1,3,1
,,,,,,
MSTRG.7827|Gm37320,74,57,50,49,44,34
,,,,,,
ENSMUSG00000083385|Gm11411,0,0,0,0,0,0
,,,,,,
ENSMUSG00000080065|Gm11864,0,0,0,0,0,0
,,,,,,
ENSMUSG00000106562|Gm5981,0,0,2,3,2,2
,,,,,,
MSTRG.7762|Mtbp,3657,3965,3904,3568,3950,4085
,,,,,,
MSTRG.15223|Aldh1b1,404,844,778,435,552,897
,,,,,,
MSTRG.24169|Gm5931,163,158,138,179,206,168
,,,,,,
ENSMUSG00000111422|1700027J07Rik,40,58,37,54,29,56
,,,,,,
ENSMUSG00000004035|Gstm7,33,23,30,29,13,53
,,,,,,
MSTRG.22371|Wwox,1492,1518,2193,2010,1574,1473
,,,,,,
ENSMUSG00000113854|Gm2099,16,7,9,13,8,21
,,,,,,
ENSMUSG00000080961|Gm11798,0,0,0,0,0,0
,,,,,,
MSTRG.10026|Ebi3,551,1083,1013,581,770,1366
,,,,,,
ENSMUSG00000093567|Obox4-ps8,0,0,0,0,0,0
,,,,,,
ENSMUSG00000061292|Cyp3a59,0,0,0,0,0,0
,,,,,,
ENSMUSG00000096903|Vmn1r104,0,0,0,0,0,0
,,,,,,
MSTRG.19384|Klrc2,148,219,122,105,152,224
,,,,,,
ENSMUSG00000083823|Amd-ps1,6,8,4,10,6,2
,,,,,,
ENSMUSG00000099917|Vmn1r215,0,0,0,0,0,0
,,,,,,
ENSMUSG00000026394|Atp6v1g3,3,4,6,0,0,0
,,,,,,
ENSMUSG00000092664|Gm22406,0,0,0,0,0,0
,,,,,,
MSTRG.2486|Gm48126,0,0,2,0,0,0
,,,,,,
ENSMUSG00000005611|Mrvi1,369,209,303,394,246,154
,,,,,,
MSTRG.20027|Wtip,3578,4362,4626,4634,5175,2997
,,,,,,
MSTRG.5093|Irf2bpl,29791,11446,15055,25198,15997,11278
,,,,,,
ENSMUSG00000110362|Gm45554,0,0,0,0,0,0
,,,,,,
ENSMUSG00000118388|Vmn1r64,0,0,0,0,0,0
,,,,,,
MSTRG.2520|Gm18515,0,0,0,0,0,0
,,,,,,
MSTRG.14206|Chtop,18637,22356,13308,21373,24394,22284
,,,,,,
MSTRG.6621|Gm47685,0,0,0,0,0,0
,,,,,,
ENSMUSG00000107567|4930480K02Rik,0,0,0,6,0,0
,,,,,,
MSTRG.6693|Gm31392,8,14,0,12,14,5
,,,,,,
ENSMUSG00000084259|Gm12040,0,0,0,3,0,0
,,,,,,
ENSMUSG00000096721|Gm25942,0,0,0,0,0,0
,,,,,,
ENSMUSG00000077487|Gm23440,0,0,0,0,0,0
,,,,,,
MSTRG.8574|Slc25a1,11081,10361,11978,11120,12267,12194
,,,,,,
ENSMUSG00000085683|Tmem238l,410,77,241,301,205,124
,,,,,,
ENSMUSG00000036521|Scgb2b2,0,0,0,0,0,0
,,,,,,
MSTRG.8198|Gm24447,438,649,413,595,538,384
,,,,,,
MSTRG.8845|Gm15802,0,0,0,0,0,0
,,,,,,
MSTRG.5089|Lrrc74a,3,0,0,0,0,0
,,,,,,
MSTRG.2190|AC141477.1,1,1,1,1,1,1
,,,,,,
MSTRG.558,4409,13887,11075,4725,15145,6607
,,,,,,
ENSMUSG00000083285|Gm15815,2,0,0,0,1,0
,,,,,,
MSTRG.13207|Acss2os,3,5,6,0,5,3
,,,,,,
ENSMUSG00000108331|Gm5322,0,3,0,2,3,0
,,,,,,
ENSMUSG00000090638|Gm17028,0,0,0,0,0,0
,,,,,,
MSTRG.18780|Gm19078,9,6,7,0,0,13
,,,,,,
MSTRG.204,2338,7791,4745,3166,3225,5715
,,,,,,
ENSMUSG00000082058|Gm11923,0,0,0,0,0,0
,,,,,,
MSTRG.7703|Gm8705,6,7,5,3,2,0
,,,,,,
MSTRG.2666|Mon2,2341,6908,12787,2557,11353,3110
,,,,,,
MSTRG.201,45765,47888,43458,32799,53419,47339
,,,,,,
MSTRG.202,2270,3837,3396,2041,2818,2041
,,,,,,
MSTRG.9780|Ly6g5b,3,2,8,2,3,3
,,,,,,
MSTRG.9529|Ilrun,60845,56331,63498,56135,60233,57507
,,,,,,
MSTRG.19865|Pld3,8910,10514,12214,10896,11496,10781
,,,,,,
MSTRG.22365|Mon1b,6906,6626,6931,6830,7368,6411
,,,,,,
ENSMUSG00000081685|Gm12647,0,0,0,0,2,0
,,,,,,
MSTRG.9993,1054,2380,2745,2144,1150,614
,,,,,,
MSTRG.12096|Cercam,934,1453,1957,1612,2110,1312
,,,,,,
MSTRG.4680|Gm48617,0,0,1,3,0,0
,,,,,,
ENSMUSG00000089664|Gm12494,0,0,0,0,0,0
,,,,,,
ENSMUSG00000076747|Trgv5,8,2,18,9,7,19
,,,,,,
MSTRG.4551|B430203G13Rik,19,22,19,37,31,14
,,,,,,
ENSMUSG00000086367|Gm6182,0,2,2,0,1,2
,,,,,,
MSTRG.393|2310016D23Rik,12,17,6,11,5,16
,,,,,,
ENSMUSG00000114394|Gm19153,0,0,0,0,0,0
,,,,,,
ENSMUSG00000114636|Gm18275,0,0,0,0,0,0
,,,,,,
MSTRG.18885|Tprkb,6596,7077,7145,6966,7637,6753
,,,,,,
ENSMUSG00000118645|AC153376.1,0,0,0,0,0,0
,,,,,,
MSTRG.14298|Car14,148,116,118,111,101,104
,,,,,,
ENSMUSG00000109949|Gm45402,0,0,0,0,0,0
,,,,,,
MSTRG.20033|BC060293,43,39,37,42,42,20
,,,,,,
MSTRG.20944|Ears2,3386,2542,2635,2886,2789,2492
,,,,,,
MSTRG.8573|Scarf2,5124,5613,8083,7169,7772,4643
,,,,,,
MSTRG.7942|Zfp7,7701,2848,2986,5830,4246,2972
,,,,,,
ENSMUSG00000032493|Prss44,4,3,3,3,3,0
,,,,,,
ENSMUSG00000052848|C130026L21Rik,12,25,23,26,42,34
,,,,,,
MSTRG.754|Gm6430,0,0,0,0,0,0
,,,,,,
MSTRG.76|Gm10566,843,873,776,848,850,772
,,,,,,
MSTRG.14979|Pdp1,3966,4397,4916,4247,5199,4266
,,,,,,
MSTRG.19282|Emg1,12879,13418,12067,12820,12842,12964
,,,,,,
MSTRG.10136|Gm49942,0,0,0,0,2,3
,,,,,,
ENSMUSG00000115550|Gm49225,0,0,0,0,0,0
,,,,,,
MSTRG.14811|Gm24260,7,9,5,6,4,6
,,,,,,
ENSMUSG00000101489|Gm28090,0,0,0,0,0,0
,,,,,,
MSTRG.9761|Vars,50406,55839,60943,51845,52463,60235
,,,,,,
ENSMUSG00000111308|Gm48710,1,2,0,0,2,0
,,,,,,
ENSMUSG00000082646|Gm12732,3,2,2,3,3,2
,,,,,,
ENSMUSG00000101846|Gm19927,3,8,6,6,0,9
,,,,,,
ENSMUSG00000086702|Gm12347,0,0,6,0,8,3
,,,,,,
MSTRG.8734,9648,7091,9189,10349,7618,12205
,,,,,,
MSTRG.11019|Chka,10970,4877,6086,7537,6885,4408
,,,,,,
ENSMUSG00000101210|Gm28720,99,118,147,92,113,59
,,,,,,
MSTRG.21152|Gm6108,3,6,0,0,4,0
,,,,,,
MSTRG.9707|Gm50336,1,3,1,1,1,2
,,,,,,
MSTRG.10863|Gm26910,205,194,158,271,213,167
,,,,,,
MSTRG.18707|Igkv4-57-1,192,475,375,143,255,412
,,,,,,
MSTRG.11571|Gm24400,1,3,2,6,2,0
,,,,,,
ENSMUSG00000044205|Olfr983,6,3,0,0,3,0
,,,,,,
ENSMUSG00000116168|Gm49430,0,0,0,0,0,0
,,,,,,
ENSMUSG00000070821|Olfr1340,0,0,0,0,0,2
,,,,,,
MSTRG.10197|Nlrc4,757,1323,963,833,821,1211
,,,,,,
ENSMUSG00000109831|Gm36431,0,0,0,0,0,0
,,,,,,
MSTRG.22481|Cyba,9141,4502,3549,6852,8142,10671
,,,,,,
MSTRG.19633|Zfp524,1587,1203,1341,1823,1396,1173
,,,,,,
MSTRG.14133|Gon4l,2343,3477,287,1651,258,204
,,,,,,
MSTRG.5504|Gm18857,0,6,13,0,0,8
,,,,,,
MSTRG.13294|Dhx35,2738,3105,3015,2697,2902,3120
,,,,,,
ENSMUSG00000117292|E330032C10Rik,13,37,35,30,42,36
,,,,,,
MSTRG.15417|Rraga,11536,11421,11778,12230,13292,11131
,,,,,,
ENSMUSG00000069706|Taar5,0,0,0,0,0,0
,,,,,,
MSTRG.7488|Farp1,12428,4496,7586,9803,4315,4999
,,,,,,
ENSMUSG00000097281|Gm26685,8,5,0,5,0,0
,,,,,,
ENSMUSG00000079451|Tmprss11g,0,0,1,0,0,0
,,,,,,
ENSMUSG00000102897|Gm37853,0,0,0,0,0,0
,,,,,,
ENSMUSG00000099551|Gm28072,0,0,0,0,0,0
,,,,,,
MSTRG.22095|Rbl2,7258,9381,8238,7470,8013,9927
,,,,,,
MSTRG.339|Gm20257,137,338,244,194,198,365
,,,,,,
MSTRG.19943|Spint2,65249,16796,28589,51951,29960,18226
,,,,,,
ENSMUSG00000088980|Mir669m-2,0,0,0,0,0,0
,,,,,,
ENSMUSG00000088976|Gm23759,0,0,0,0,2,0
,,,,,,
ENSMUSG00000087836|Gm23956,0,0,0,0,0,0
,,,,,,
MSTRG.1669|Gm10945,0,0,0,0,0,0
,,,,,,
ENSMUSG00000089795|Hmgb3-ps,0,0,0,0,0,0
,,,,,,
MSTRG.9136|Zbtb21,5630,4859,5890,5676,7322,5538
,,,,,,
MSTRG.9984|Treml2,2560,6066,7651,4355,903,9950
,,,,,,
MSTRG.12333,2396,2974,3223,3320,3445,3191
,,,,,,
MSTRG.6325|Zfyve16,6832,5119,5774,6161,6833,5989
,,,,,,
MSTRG.8224|Amigo2,1424,3085,2733,1737,2106,3102
,,,,,,
ENSMUSG00000110074|Olfr563-ps1,0,0,0,0,0,0
,,,,,,
MSTRG.2971|Papolg,1411,2436,948,1837,2645,2204
,,,,,,
MSTRG.12332,3895,3631,2953,3022,3217,2787
,,,,,,
MSTRG.15179,1882,901,1850,2581,3061,941
,,,,,,
ENSMUSG00000027444|Cstdc1,0,0,0,0,0,0
,,,,,,
MSTRG.11063|Gm960,124,118,113,174,116,90
,,,,,,
MSTRG.4399|P4hb,82209,74973,88685,95808,106906,77218
,,,,,,
MSTRG.20691,152,1443,1023,1455,875,982
,,,,,,
MSTRG.20697,4574,5298,7787,6485,8169,5040
,,,,,,
ENSMUSG00000114885|Gm7371,0,0,0,0,0,0
,,,,,,
MSTRG.20695,602,645,1388,689,858,1120
,,,,,,
MSTRG.22241|4930578M07Rik,5,7,14,9,9,14
,,,,,,
ENSMUSG00000015365|Mov10l1,12,8,0,0,0,3
,,,,,,
MSTRG.23526|Snhg5,6004,6825,6501,6595,6003,6576
,,,,,,
MSTRG.3591,345,301,214,2928,1032,247
,,,,,,
ENSMUSG00000082574|Olfr1268-ps1,0,0,0,0,0,0
,,,,,,
MSTRG.2383|Txnrd1,98253,89439,93142,85542,110907,103967
,,,,,,
ENSMUSG00000033207|Mamdc2,27,64,56,96,100,52
,,,,,,
MSTRG.4328|Mettl23,2775,2950,2825,2685,2635,3255
,,,,,,
ENSMUSG00000100592|Gm28645,0,0,0,0,0,0
,,,,,,
ENSMUSG00000033634|Nat8f2,31,20,14,25,27,18
,,,,,,
MSTRG.15020|Pnisr,29723,30716,26504,31026,30802,27114
,,,,,,
MSTRG.415|Snora41,182,262,205,159,246,245
,,,,,,
ENSMUSG00000107651|Gm44166,0,0,0,0,0,0
,,,,,,
MSTRG.13603|1700010I02Rik,0,0,0,0,0,0
,,,,,,
MSTRG.16472,169,242,167,179,449,230
,,,,,,
ENSMUSG00000025945|Crygf,0,0,0,0,0,0
,,,,,,
ENSMUSG00000098443|Mir7681,0,0,0,0,0,0
,,,,,,
MSTRG.19970|Gm44872,3,3,14,7,9,4
,,,,,,
MSTRG.15630|Nsun4,2322,1531,1957,2070,2419,2033
,,,,,,
ENSMUSG00000027431|Scp2d1,0,0,0,0,0,0
,,,,,,
ENSMUSG00000102470|Gm37244,0,0,0,0,0,0
,,,,,,
MSTRG.16639|Eif2b4,7316,7537,8774,8557,8254,7697
,,,,,,
ENSMUSG00000081298|Gm14622,0,0,0,0,0,0
,,,,,,
ENSMUSG00000115604|Gm7691,8,16,5,9,16,22
,,,,,,
ENSMUSG00000114358|Gm5200,0,0,2,0,0,0
,,,,,,
MSTRG.20520,2935,2377,2264,2542,2314,2102
,,,,,,
MSTRG.20523,5519,5971,4095,2473,8788,4680
,,,,,,
ENSMUSG00000104592|Gm42721,0,22,6,11,2,2
,,,,,,
ENSMUSG00000019909|Fam162b,0,0,0,0,0,0
,,,,,,
ENSMUSG00000093988|Gm24861,0,0,0,0,0,0
,,,,,,
MSTRG.17280|Gm43787,0,7,5,0,8,3
,,,,,,
MSTRG.1410|Fh1,8524,7006,7958,8963,8484,7709
,,,,,,
MSTRG.9374|Bicdl2,3802,967,1673,3110,1731,1016
,,,,,,
ENSMUSG00000065594|Mir107,0,0,0,0,0,0
,,,,,,
MSTRG.5952|Faf2,26840,23739,25316,25195,26698,22833
,,,,,,
ENSMUSG00000000094|Tbx4,35,35,25,42,24,41
,,,,,,
ENSMUSG00000099975|Gm21617,0,0,0,0,0,0
,,,,,,
